(('engineering', 'languages', 'systems'), 30)
(('model', 'driven', 'engineering'), 28)
(('driven', 'engineering', 'languages'), 28)
(('systems', 'model', 'driven'), 9)
(('software', 'engineering', 'software'), 7)
(('languages', 'systems', 'software'), 7)
(('languages', 'systems', 'model'), 7)
(('software', 'systems', 'modeling'), 5)
(('engineering', 'model', 'driven'), 5)
(('software', 'engineering', 'advanced'), 4)
(('engineering', 'advanced', 'applications'), 4)
(('enterprise', 'distributed', 'object'), 4)
(('distributed', 'object', 'computing'), 4)
(('engineering', 'software', 'engineering'), 4)
(('software', 'engineering', 'model'), 4)
(('systems', 'software', 'engineering'), 4)
(('continuous', 'development', 'software'), 4)
(('development', 'software', 'production'), 4)
(('software', 'production', 'deployment'), 4)
(('modeldriven', 'engineering', 'software'), 3)
(('engineering', 'software', 'development'), 3)
(('software', 'testing', 'verification'), 3)
(('testing', 'verification', 'validation'), 3)
(('systems', 'software', 'product'), 3)
(('software', 'product', 'line'), 3)
(('computing', 'model', 'driven'), 3)
(('software', 'testing', 'analysis'), 3)
(('empirical', 'software', 'engineering'), 3)
(('software', 'engineering', 'continuous'), 3)
(('engineering', 'continuous', 'development'), 3)
(('software', 'software', 'practice'), 2)
(('software', 'practice', 'experience'), 2)
(('engineering', 'software', 'quality'), 2)
(('languages', 'systems', 'applied'), 2)
(('systems', 'applied', 'computing'), 2)
(('systems', 'modeldriven', 'engineering'), 2)
(('software', 'development', 'software'), 2)
(('systems', 'software', 'software'), 2)
(('systems', 'programming', 'languages'), 2)
(('programming', 'languages', 'applications'), 2)
(('languages', 'systems', 'automated'), 2)
(('design', 'automation', 'test'), 2)
(('test', 'information', 'software'), 2)
(('information', 'software', 'technology'), 2)
(('technology', 'systems', 'software'), 2)
(('computer', 'safety', 'reliability'), 2)
(('safety', 'reliability', 'security'), 2)
(('software', 'engineering', 'adaptive'), 2)
(('engineering', 'adaptive', 'selfmanaging'), 2)
(('adaptive', 'selfmanaging', 'systems'), 2)
(('applications', 'formal', 'methods'), 2)
(('systems', 'quality', 'information'), 2)
(('quality', 'information', 'communications'), 2)
(('information', 'communications', 'technology'), 2)
(('automated', 'software', 'engineering'), 2)
(('simulation', 'modeling', 'practice'), 2)
(('modeling', 'practice', 'theory'), 2)
(('object', 'computing', 'model'), 2)
(('systems', 'enterprise', 'distributed'), 2)
(('systems', 'software', 'testing'), 2)
(('availability', 'reliability', 'security'), 2)
(('modeldriven', 'engineering', 'languages'), 2)
(('languages', 'systems', 'computational'), 2)
(('systems', 'computational', 'science'), 2)
(('data', 'engineering', 'bulletin'), 1)
(('engineering', 'bulletin', 'software'), 1)
(('bulletin', 'software', 'software'), 1)
(('practice', 'experience', 'software'), 1)
(('experience', 'software', 'engineering'), 1)
(('software', 'quality', 'systems'), 1)
(('quality', 'systems', 'software'), 1)
(('systems', 'software', 'serviceoriented'), 1)
(('software', 'serviceoriented', 'computing'), 1)
(('serviceoriented', 'computing', 'adaptive'), 1)
(('computing', 'adaptive', 'serviceoriented'), 1)
(('adaptive', 'serviceoriented', 'cloud'), 1)
(('serviceoriented', 'cloud', 'applications'), 1)
