(('model', 'driven', 'engineering', 'languages'), 28)
(('driven', 'engineering', 'languages', 'systems'), 28)
(('systems', 'model', 'driven', 'engineering'), 9)
(('engineering', 'languages', 'systems', 'software'), 7)
(('engineering', 'languages', 'systems', 'model'), 7)
(('languages', 'systems', 'model', 'driven'), 7)
(('engineering', 'model', 'driven', 'engineering'), 5)
(('software', 'engineering', 'advanced', 'applications'), 4)
(('enterprise', 'distributed', 'object', 'computing'), 4)
(('software', 'engineering', 'software', 'engineering'), 4)
(('software', 'engineering', 'model', 'driven'), 4)
(('continuous', 'development', 'software', 'production'), 4)
(('development', 'software', 'production', 'deployment'), 4)
(('modeldriven', 'engineering', 'software', 'development'), 3)
(('software', 'testing', 'verification', 'validation'), 3)
(('systems', 'software', 'product', 'line'), 3)
(('computing', 'model', 'driven', 'engineering'), 3)
(('empirical', 'software', 'engineering', 'software'), 3)
(('languages', 'systems', 'software', 'engineering'), 3)
(('software', 'engineering', 'continuous', 'development'), 3)
(('engineering', 'continuous', 'development', 'software'), 3)
(('software', 'software', 'practice', 'experience'), 2)
(('software', 'engineering', 'software', 'quality'), 2)
(('engineering', 'languages', 'systems', 'applied'), 2)
(('languages', 'systems', 'applied', 'computing'), 2)
(('engineering', 'software', 'development', 'software'), 2)
(('systems', 'programming', 'languages', 'applications'), 2)
(('engineering', 'languages', 'systems', 'automated'), 2)
(('test', 'information', 'software', 'technology'), 2)
(('computer', 'safety', 'reliability', 'security'), 2)
(('systems', 'software', 'engineering', 'adaptive'), 2)
(('software', 'engineering', 'adaptive', 'selfmanaging'), 2)
(('engineering', 'adaptive', 'selfmanaging', 'systems'), 2)
(('systems', 'quality', 'information', 'communications'), 2)
(('quality', 'information', 'communications', 'technology'), 2)
(('simulation', 'modeling', 'practice', 'theory'), 2)
(('distributed', 'object', 'computing', 'model'), 2)
(('object', 'computing', 'model', 'driven'), 2)
(('systems', 'enterprise', 'distributed', 'object'), 2)
(('modeldriven', 'engineering', 'languages', 'systems'), 2)
(('engineering', 'languages', 'systems', 'computational'), 2)
(('languages', 'systems', 'computational', 'science'), 2)
(('data', 'engineering', 'bulletin', 'software'), 1)
(('engineering', 'bulletin', 'software', 'software'), 1)
(('bulletin', 'software', 'software', 'practice'), 1)
(('software', 'practice', 'experience', 'software'), 1)
(('practice', 'experience', 'software', 'engineering'), 1)
(('experience', 'software', 'engineering', 'software'), 1)
(('engineering', 'software', 'quality', 'systems'), 1)
(('software', 'quality', 'systems', 'software'), 1)
(('quality', 'systems', 'software', 'serviceoriented'), 1)
(('systems', 'software', 'serviceoriented', 'computing'), 1)
(('software', 'serviceoriented', 'computing', 'adaptive'), 1)
(('serviceoriented', 'computing', 'adaptive', 'serviceoriented'), 1)
(('computing', 'adaptive', 'serviceoriented', 'cloud'), 1)
(('adaptive', 'serviceoriented', 'cloud', 'applications'), 1)
(('serviceoriented', 'cloud', 'applications', 'iot'), 1)
(('cloud', 'applications', 'iot', 'systems'), 1)
(('applications', 'iot', 'systems', 'provisioning'), 1)
(('iot', 'systems', 'provisioning', 'management'), 1)
(('systems', 'provisioning', 'management', 'cloud'), 1)
(('provisioning', 'management', 'cloud', 'computing'), 1)
(('management', 'cloud', 'computing', 'engineering'), 1)
(('cloud', 'computing', 'engineering', 'serviceoriented'), 1)
(('computing', 'engineering', 'serviceoriented', 'applications'), 1)
(('engineering', 'serviceoriented', 'applications', 'cloud'), 1)
(('serviceoriented', 'applications', 'cloud', 'services'), 1)
(('applications', 'cloud', 'services', 'cloud'), 1)
(('cloud', 'services', 'cloud', 'computing'), 1)
(('services', 'cloud', 'computing', 'data'), 1)
(('cloud', 'computing', 'data', 'science'), 1)
(('computing', 'data', 'science', 'engineering'), 1)
(('data', 'science', 'engineering', 'software'), 1)
(('science', 'engineering', 'software', 'architecture'), 1)
(('engineering', 'software', 'architecture', 'model'), 1)
(('software', 'architecture', 'model', 'driven'), 1)
(('architecture', 'model', 'driven', 'engineering'), 1)
(('systems', 'applied', 'computing', 'autonomic'), 1)
(('applied', 'computing', 'autonomic', 'computing'), 1)
(('computing', 'autonomic', 'computing', 'selforganizing'), 1)
(('autonomic', 'computing', 'selforganizing', 'systems'), 1)
(('computing', 'selforganizing', 'systems', 'modeldriven'), 1)
(('selforganizing', 'systems', 'modeldriven', 'engineering'), 1)
(('systems', 'modeldriven', 'engineering', 'software'), 1)
(('software', 'development', 'software', 'testing'), 1)
(('development', 'software', 'testing', 'verification'), 1)
(('testing', 'verification', 'validation', 'computational'), 1)
(('verification', 'validation', 'computational', 'intelligence'), 1)
(('validation', 'computational', 'intelligence', 'web'), 1)
(('computational', 'intelligence', 'web', 'services'), 1)
(('intelligence', 'web', 'services', 'systems'), 1)
(('web', 'services', 'systems', 'software'), 1)
(('services', 'systems', 'software', 'component'), 1)
(('systems', 'software', 'component', 'based'), 1)
(('software', 'component', 'based', 'software'), 1)
(('component', 'based', 'software', 'engineering'), 1)
(('based', 'software', 'engineering', 'cbse'), 1)
(('software', 'engineering', 'cbse', 'computer'), 1)
(('engineering', 'cbse', 'computer', 'technology'), 1)
(('cbse', 'computer', 'technology', 'applications'), 1)
(('computer', 'technology', 'applications', 'systems'), 1)
(('technology', 'applications', 'systems', 'software'), 1)
(('applications', 'systems', 'software', 'product'), 1)
(('software', 'product', 'line', 'formal'), 1)
(('product', 'line', 'formal', 'methods'), 1)
(('line', 'formal', 'methods', 'industrial'), 1)
(('formal', 'methods', 'industrial', 'critical'), 1)
(('methods', 'industrial', 'critical', 'systems'), 1)
(('industrial', 'critical', 'systems', 'web'), 1)
(('critical', 'systems', 'web', 'intelligence'), 1)
(('systems', 'web', 'intelligence', 'modeling'), 1)
(('web', 'intelligence', 'modeling', 'program'), 1)
(('intelligence', 'modeling', 'program', 'software'), 1)
(('modeling', 'program', 'software', 'engineering'), 1)
(('program', 'software', 'engineering', 'advanced'), 1)
(('engineering', 'advanced', 'applications', 'services'), 1)
(('advanced', 'applications', 'services', 'computing'), 1)
(('applications', 'services', 'computing', 'modeldriven'), 1)
(('services', 'computing', 'modeldriven', 'engineering'), 1)
(('computing', 'modeldriven', 'engineering', 'software'), 1)
(('software', 'development', 'software', 'engineering'), 1)
(('development', 'software', 'engineering', 'foundations'), 1)
(('software', 'engineering', 'foundations', 'software'), 1)
(('engineering', 'foundations', 'software', 'engineering'), 1)
(('foundations', 'software', 'engineering', 'systems'), 1)
(('software', 'engineering', 'systems', 'software'), 1)
(('engineering', 'systems', 'software', 'software'), 1)
(('systems', 'software', 'software', 'practice'), 1)
(('software', 'practice', 'experience', 'generative'), 1)
(('practice', 'experience', 'generative', 'programming'), 1)
(('experience', 'generative', 'programming', 'concepts'), 1)
(('generative', 'programming', 'concepts', 'experiences'), 1)
(('programming', 'concepts', 'experiences', 'systems'), 1)
(('concepts', 'experiences', 'systems', 'programming'), 1)
(('experiences', 'systems', 'programming', 'languages'), 1)
(('programming', 'languages', 'applications', 'software'), 1)
(('languages', 'applications', 'software', 'humanity'), 1)
(('applications', 'software', 'humanity', 'modelbased'), 1)
(('software', 'humanity', 'modelbased', 'development'), 1)
(('humanity', 'modelbased', 'development', 'embedded'), 1)
(('modelbased', 'development', 'embedded', 'systems'), 1)
(('development', 'embedded', 'systems', 'cloud'), 1)
(('embedded', 'systems', 'cloud', 'computing'), 1)
(('systems', 'cloud', 'computing', 'model'), 1)
(('cloud', 'computing', 'model', 'driven'), 1)
(('languages', 'systems', 'automated', 'configuration'), 1)
(('systems', 'automated', 'configuration', 'tailoring'), 1)
(('automated', 'configuration', 'tailoring', 'applications'), 1)
(('configuration', 'tailoring', 'applications', 'enterprise'), 1)
(('tailoring', 'applications', 'enterprise', 'distributed'), 1)
(('applications', 'enterprise', 'distributed', 'object'), 1)
(('distributed', 'object', 'computing', 'software'), 1)
(('object', 'computing', 'software', 'testing'), 1)
(('computing', 'software', 'testing', 'analysis'), 1)
(('software', 'testing', 'analysis', 'information'), 1)
(('testing', 'analysis', 'information', 'systems'), 1)
(('analysis', 'information', 'systems', 'organisation'), 1)
(('information', 'systems', 'organisation', 'systems'), 1)
(('systems', 'organisation', 'systems', 'architecture'), 1)
(('organisation', 'systems', 'architecture', 'grid'), 1)
(('systems', 'architecture', 'grid', 'computing'), 1)
(('architecture', 'grid', 'computing', 'selfaware'), 1)
(('grid', 'computing', 'selfaware', 'internet'), 1)
(('computing', 'selfaware', 'internet', 'things'), 1)
(('selfaware', 'internet', 'things', 'software'), 1)
(('internet', 'things', 'software', 'systems'), 1)
(('things', 'software', 'systems', 'modeling'), 1)
(('software', 'systems', 'modeling', 'utility'), 1)
(('systems', 'modeling', 'utility', 'cloud'), 1)
(('modeling', 'utility', 'cloud', 'computing'), 1)
(('utility', 'cloud', 'computing', 'ucc'), 1)
(('cloud', 'computing', 'ucc', 'internet'), 1)
(('computing', 'ucc', 'internet', 'technology'), 1)
(('ucc', 'internet', 'technology', 'software'), 1)
(('internet', 'technology', 'software', 'technologies'), 1)
(('technology', 'software', 'technologies', 'applications'), 1)
(('software', 'technologies', 'applications', 'foundations'), 1)
(('technologies', 'applications', 'foundations', 'software'), 1)
(('applications', 'foundations', 'software', 'systems'), 1)
(('foundations', 'software', 'systems', 'modeling'), 1)
(('software', 'systems', 'modeling', 'services'), 1)
(('systems', 'modeling', 'services', 'computing'), 1)
(('modeling', 'services', 'computing', 'machine'), 1)
(('services', 'computing', 'machine', 'learning'), 1)
(('computing', 'machine', 'learning', 'dynamic'), 1)
(('machine', 'learning', 'dynamic', 'software'), 1)
(('learning', 'dynamic', 'software', 'analysis'), 1)
(('dynamic', 'software', 'analysis', 'potentials'), 1)
(('software', 'analysis', 'potentials', 'limits'), 1)
(('analysis', 'potentials', 'limits', 'software'), 1)
(('potentials', 'limits', 'software', 'engineering'), 1)
(('limits', 'software', 'engineering', 'methodology'), 1)
(('software', 'engineering', 'methodology', 'software'), 1)
(('engineering', 'methodology', 'software', 'architecture'), 1)
(('methodology', 'software', 'architecture', 'object'), 1)
(('software', 'architecture', 'object', 'technology'), 1)
(('architecture', 'object', 'technology', 'modeldriven'), 1)
(('object', 'technology', 'modeldriven', 'engineering'), 1)
(('technology', 'modeldriven', 'engineering', 'software'), 1)
(('engineering', 'software', 'development', 'design'), 1)
(('software', 'development', 'design', 'automation'), 1)
(('development', 'design', 'automation', 'test'), 1)
(('design', 'automation', 'test', 'information'), 1)
(('automation', 'test', 'information', 'software'), 1)
(('information', 'software', 'technology', 'systems'), 1)
(('software', 'technology', 'systems', 'software'), 1)
(('technology', 'systems', 'software', 'empirical'), 1)
(('systems', 'software', 'empirical', 'software'), 1)
(('software', 'empirical', 'software', 'engineering'), 1)
(('engineering', 'software', 'engineering', 'advanced'), 1)
