(('model', 'driven', 'engineering', 'languages', 'systems'), 28)
(('systems', 'model', 'driven', 'engineering', 'languages'), 9)
(('driven', 'engineering', 'languages', 'systems', 'software'), 7)
(('engineering', 'languages', 'systems', 'model', 'driven'), 7)
(('languages', 'systems', 'model', 'driven', 'engineering'), 7)
(('engineering', 'model', 'driven', 'engineering', 'languages'), 5)
(('driven', 'engineering', 'languages', 'systems', 'model'), 5)
(('software', 'engineering', 'model', 'driven', 'engineering'), 4)
(('continuous', 'development', 'software', 'production', 'deployment'), 4)
(('computing', 'model', 'driven', 'engineering', 'languages'), 3)
(('engineering', 'languages', 'systems', 'software', 'engineering'), 3)
(('software', 'engineering', 'continuous', 'development', 'software'), 3)
(('engineering', 'continuous', 'development', 'software', 'production'), 3)
(('driven', 'engineering', 'languages', 'systems', 'applied'), 2)
(('engineering', 'languages', 'systems', 'applied', 'computing'), 2)
(('modeldriven', 'engineering', 'software', 'development', 'software'), 2)
(('driven', 'engineering', 'languages', 'systems', 'automated'), 2)
(('empirical', 'software', 'engineering', 'software', 'engineering'), 2)
(('languages', 'systems', 'software', 'engineering', 'adaptive'), 2)
(('systems', 'software', 'engineering', 'adaptive', 'selfmanaging'), 2)
(('software', 'engineering', 'adaptive', 'selfmanaging', 'systems'), 2)
(('systems', 'quality', 'information', 'communications', 'technology'), 2)
(('enterprise', 'distributed', 'object', 'computing', 'model'), 2)
(('distributed', 'object', 'computing', 'model', 'driven'), 2)
(('object', 'computing', 'model', 'driven', 'engineering'), 2)
(('systems', 'enterprise', 'distributed', 'object', 'computing'), 2)
(('modeldriven', 'engineering', 'languages', 'systems', 'model'), 2)
(('driven', 'engineering', 'languages', 'systems', 'computational'), 2)
(('engineering', 'languages', 'systems', 'computational', 'science'), 2)
(('data', 'engineering', 'bulletin', 'software', 'software'), 1)
(('engineering', 'bulletin', 'software', 'software', 'practice'), 1)
(('bulletin', 'software', 'software', 'practice', 'experience'), 1)
(('software', 'software', 'practice', 'experience', 'software'), 1)
(('software', 'practice', 'experience', 'software', 'engineering'), 1)
(('practice', 'experience', 'software', 'engineering', 'software'), 1)
(('experience', 'software', 'engineering', 'software', 'quality'), 1)
(('software', 'engineering', 'software', 'quality', 'systems'), 1)
(('engineering', 'software', 'quality', 'systems', 'software'), 1)
(('software', 'quality', 'systems', 'software', 'serviceoriented'), 1)
(('quality', 'systems', 'software', 'serviceoriented', 'computing'), 1)
(('systems', 'software', 'serviceoriented', 'computing', 'adaptive'), 1)
(('software', 'serviceoriented', 'computing', 'adaptive', 'serviceoriented'), 1)
(('serviceoriented', 'computing', 'adaptive', 'serviceoriented', 'cloud'), 1)
(('computing', 'adaptive', 'serviceoriented', 'cloud', 'applications'), 1)
(('adaptive', 'serviceoriented', 'cloud', 'applications', 'iot'), 1)
(('serviceoriented', 'cloud', 'applications', 'iot', 'systems'), 1)
(('cloud', 'applications', 'iot', 'systems', 'provisioning'), 1)
(('applications', 'iot', 'systems', 'provisioning', 'management'), 1)
(('iot', 'systems', 'provisioning', 'management', 'cloud'), 1)
(('systems', 'provisioning', 'management', 'cloud', 'computing'), 1)
(('provisioning', 'management', 'cloud', 'computing', 'engineering'), 1)
(('management', 'cloud', 'computing', 'engineering', 'serviceoriented'), 1)
(('cloud', 'computing', 'engineering', 'serviceoriented', 'applications'), 1)
(('computing', 'engineering', 'serviceoriented', 'applications', 'cloud'), 1)
(('engineering', 'serviceoriented', 'applications', 'cloud', 'services'), 1)
(('serviceoriented', 'applications', 'cloud', 'services', 'cloud'), 1)
(('applications', 'cloud', 'services', 'cloud', 'computing'), 1)
(('cloud', 'services', 'cloud', 'computing', 'data'), 1)
(('services', 'cloud', 'computing', 'data', 'science'), 1)
(('cloud', 'computing', 'data', 'science', 'engineering'), 1)
(('computing', 'data', 'science', 'engineering', 'software'), 1)
(('data', 'science', 'engineering', 'software', 'architecture'), 1)
(('science', 'engineering', 'software', 'architecture', 'model'), 1)
(('engineering', 'software', 'architecture', 'model', 'driven'), 1)
(('software', 'architecture', 'model', 'driven', 'engineering'), 1)
(('architecture', 'model', 'driven', 'engineering', 'languages'), 1)
(('languages', 'systems', 'applied', 'computing', 'autonomic'), 1)
(('systems', 'applied', 'computing', 'autonomic', 'computing'), 1)
(('applied', 'computing', 'autonomic', 'computing', 'selforganizing'), 1)
(('computing', 'autonomic', 'computing', 'selforganizing', 'systems'), 1)
(('autonomic', 'computing', 'selforganizing', 'systems', 'modeldriven'), 1)
(('computing', 'selforganizing', 'systems', 'modeldriven', 'engineering'), 1)
(('selforganizing', 'systems', 'modeldriven', 'engineering', 'software'), 1)
(('systems', 'modeldriven', 'engineering', 'software', 'development'), 1)
(('engineering', 'software', 'development', 'software', 'testing'), 1)
(('software', 'development', 'software', 'testing', 'verification'), 1)
(('development', 'software', 'testing', 'verification', 'validation'), 1)
(('software', 'testing', 'verification', 'validation', 'computational'), 1)
(('testing', 'verification', 'validation', 'computational', 'intelligence'), 1)
(('verification', 'validation', 'computational', 'intelligence', 'web'), 1)
(('validation', 'computational', 'intelligence', 'web', 'services'), 1)
(('computational', 'intelligence', 'web', 'services', 'systems'), 1)
(('intelligence', 'web', 'services', 'systems', 'software'), 1)
(('web', 'services', 'systems', 'software', 'component'), 1)
(('services', 'systems', 'software', 'component', 'based'), 1)
(('systems', 'software', 'component', 'based', 'software'), 1)
(('software', 'component', 'based', 'software', 'engineering'), 1)
(('component', 'based', 'software', 'engineering', 'cbse'), 1)
(('based', 'software', 'engineering', 'cbse', 'computer'), 1)
(('software', 'engineering', 'cbse', 'computer', 'technology'), 1)
(('engineering', 'cbse', 'computer', 'technology', 'applications'), 1)
(('cbse', 'computer', 'technology', 'applications', 'systems'), 1)
(('computer', 'technology', 'applications', 'systems', 'software'), 1)
(('technology', 'applications', 'systems', 'software', 'product'), 1)
(('applications', 'systems', 'software', 'product', 'line'), 1)
(('systems', 'software', 'product', 'line', 'formal'), 1)
(('software', 'product', 'line', 'formal', 'methods'), 1)
(('product', 'line', 'formal', 'methods', 'industrial'), 1)
(('line', 'formal', 'methods', 'industrial', 'critical'), 1)
(('formal', 'methods', 'industrial', 'critical', 'systems'), 1)
(('methods', 'industrial', 'critical', 'systems', 'web'), 1)
(('industrial', 'critical', 'systems', 'web', 'intelligence'), 1)
(('critical', 'systems', 'web', 'intelligence', 'modeling'), 1)
(('systems', 'web', 'intelligence', 'modeling', 'program'), 1)
(('web', 'intelligence', 'modeling', 'program', 'software'), 1)
(('intelligence', 'modeling', 'program', 'software', 'engineering'), 1)
(('modeling', 'program', 'software', 'engineering', 'advanced'), 1)
(('program', 'software', 'engineering', 'advanced', 'applications'), 1)
(('software', 'engineering', 'advanced', 'applications', 'services'), 1)
(('engineering', 'advanced', 'applications', 'services', 'computing'), 1)
(('advanced', 'applications', 'services', 'computing', 'modeldriven'), 1)
(('applications', 'services', 'computing', 'modeldriven', 'engineering'), 1)
(('services', 'computing', 'modeldriven', 'engineering', 'software'), 1)
(('computing', 'modeldriven', 'engineering', 'software', 'development'), 1)
(('engineering', 'software', 'development', 'software', 'engineering'), 1)
(('software', 'development', 'software', 'engineering', 'foundations'), 1)
(('development', 'software', 'engineering', 'foundations', 'software'), 1)
(('software', 'engineering', 'foundations', 'software', 'engineering'), 1)
(('engineering', 'foundations', 'software', 'engineering', 'systems'), 1)
(('foundations', 'software', 'engineering', 'systems', 'software'), 1)
(('software', 'engineering', 'systems', 'software', 'software'), 1)
(('engineering', 'systems', 'software', 'software', 'practice'), 1)
(('systems', 'software', 'software', 'practice', 'experience'), 1)
(('software', 'software', 'practice', 'experience', 'generative'), 1)
(('software', 'practice', 'experience', 'generative', 'programming'), 1)
(('practice', 'experience', 'generative', 'programming', 'concepts'), 1)
(('experience', 'generative', 'programming', 'concepts', 'experiences'), 1)
(('generative', 'programming', 'concepts', 'experiences', 'systems'), 1)
(('programming', 'concepts', 'experiences', 'systems', 'programming'), 1)
(('concepts', 'experiences', 'systems', 'programming', 'languages'), 1)
(('experiences', 'systems', 'programming', 'languages', 'applications'), 1)
(('systems', 'programming', 'languages', 'applications', 'software'), 1)
(('programming', 'languages', 'applications', 'software', 'humanity'), 1)
(('languages', 'applications', 'software', 'humanity', 'modelbased'), 1)
(('applications', 'software', 'humanity', 'modelbased', 'development'), 1)
(('software', 'humanity', 'modelbased', 'development', 'embedded'), 1)
(('humanity', 'modelbased', 'development', 'embedded', 'systems'), 1)
(('modelbased', 'development', 'embedded', 'systems', 'cloud'), 1)
(('development', 'embedded', 'systems', 'cloud', 'computing'), 1)
(('embedded', 'systems', 'cloud', 'computing', 'model'), 1)
(('systems', 'cloud', 'computing', 'model', 'driven'), 1)
(('cloud', 'computing', 'model', 'driven', 'engineering'), 1)
(('engineering', 'languages', 'systems', 'automated', 'configuration'), 1)
(('languages', 'systems', 'automated', 'configuration', 'tailoring'), 1)
(('systems', 'automated', 'configuration', 'tailoring', 'applications'), 1)
(('automated', 'configuration', 'tailoring', 'applications', 'enterprise'), 1)
(('configuration', 'tailoring', 'applications', 'enterprise', 'distributed'), 1)
(('tailoring', 'applications', 'enterprise', 'distributed', 'object'), 1)
(('applications', 'enterprise', 'distributed', 'object', 'computing'), 1)
(('enterprise', 'distributed', 'object', 'computing', 'software'), 1)
(('distributed', 'object', 'computing', 'software', 'testing'), 1)
(('object', 'computing', 'software', 'testing', 'analysis'), 1)
(('computing', 'software', 'testing', 'analysis', 'information'), 1)
(('software', 'testing', 'analysis', 'information', 'systems'), 1)
(('testing', 'analysis', 'information', 'systems', 'organisation'), 1)
(('analysis', 'information', 'systems', 'organisation', 'systems'), 1)
(('information', 'systems', 'organisation', 'systems', 'architecture'), 1)
(('systems', 'organisation', 'systems', 'architecture', 'grid'), 1)
(('organisation', 'systems', 'architecture', 'grid', 'computing'), 1)
(('systems', 'architecture', 'grid', 'computing', 'selfaware'), 1)
(('architecture', 'grid', 'computing', 'selfaware', 'internet'), 1)
(('grid', 'computing', 'selfaware', 'internet', 'things'), 1)
(('computing', 'selfaware', 'internet', 'things', 'software'), 1)
(('selfaware', 'internet', 'things', 'software', 'systems'), 1)
(('internet', 'things', 'software', 'systems', 'modeling'), 1)
(('things', 'software', 'systems', 'modeling', 'utility'), 1)
(('software', 'systems', 'modeling', 'utility', 'cloud'), 1)
(('systems', 'modeling', 'utility', 'cloud', 'computing'), 1)
(('modeling', 'utility', 'cloud', 'computing', 'ucc'), 1)
(('utility', 'cloud', 'computing', 'ucc', 'internet'), 1)
(('cloud', 'computing', 'ucc', 'internet', 'technology'), 1)
(('computing', 'ucc', 'internet', 'technology', 'software'), 1)
(('ucc', 'internet', 'technology', 'software', 'technologies'), 1)
(('internet', 'technology', 'software', 'technologies', 'applications'), 1)
(('technology', 'software', 'technologies', 'applications', 'foundations'), 1)
(('software', 'technologies', 'applications', 'foundations', 'software'), 1)
(('technologies', 'applications', 'foundations', 'software', 'systems'), 1)
(('applications', 'foundations', 'software', 'systems', 'modeling'), 1)
