,Title,,,
0,Bridging the model-to-code abstraction gap with fuzzy logic in model-based regression test selection,\cite{,\cite{Cazzola_2021},}
1,ResyDuo: Combining Data Models and CF-Based Recommender Systems to Develop Arduino Projects,\cite{,\cite{Di_Rocco_2023},}
2,Adaptive Reward Computation in Reinforcement Learning-Based Continuous Integration Testing,\cite{,\cite{Yang_2021},}
3,A Framework for Continuous Regression and Integration Testing in IoT Systems Based on Deep Learning ,\cite{,\cite{Medhat_2020},}
4,Agile Generator-Based GUI Modeling for Information Systems,\cite{,\cite{Gerasimov_2021},}
5,"Model-based Continuous Deployment of SIS,,",\cite{,\cite{Ferry_2021},}
6,Towards Continuous Modelling to Enable DevOps: A Preliminary Study with Practitioners,\cite{,\cite{Bergelin_Towards_2022},}
7,Model-based product line evolution: An incremental growing by extension,\cite{,\cite{Creff_2012},}
8,openCAESAR: Balancing Agility and Rigor in Model-Based Systems Engineering,\cite{,\cite{Elaasar_2023},}
9,Architectural runtime models for integrating runtime observations and component-based models,\cite{,\cite{Heinrich_2020},}
10,The Digital Twin as a Common Knowledge Base in DevOps to Support Continuous System Evolution,\cite{,\cite{Mertens_2021},}
11,A model-driven approach to continuous practices for modern cloud-based web applications,,,
12,Impediments to Introducing Continuous Integration for Model-Based Development in Industry,,,
13,"Pattern-based Modelling, Integration, and Deployment of Microservice Architectures",,,
14,Artshop: A continuous integration and quality assessment framework for model-based software artifact,,,
15,A tag-based recommender system for regression test case prioritization,,,
16,A model-driven approach for continuous performance engineering in microservice-based systems,,,
17,Machine Learning Regression Techniques for Test Case Prioritization in Continuous Integration Enviro,,,
18,Improving Component Based Software Integration Testing Using Data Mining Technique,,,
19,Learning by sampling: learning behavioral family models from software product lines,,,
20,TwinOps - DevOps meets model-based engineering and digital twins for the engineering of CPS,,,
21,Consistency management in industrial continuous model-based development settings: a reality check,,,
22,Towards Specification Completion for Systems with Emergent Behavior based on DevOps,,,
23,Realization of a model-based DevOps process for industrial safety critical cyber physical systems,,,
24,A model-driven workflow for distributed microservice development,,,
