Topic_0, Top-Term Weight: 3.4500244298450102
Topic_1, Top-Term Weight: 2.1100071785506724
Topic_2, Top-Term Weight: 2.0621179670223015
Topic_3, Top-Term Weight: 2.285535277553776
Topic_4, Top-Term Weight: 2.1182939095169937
Topic_5, Top-Term Weight: 2.322599582642061
Topic_6, Top-Term Weight: 1.9364751564344116
Topic_7, Top-Term Weight: 1.7415870693327107
Topic_8, Top-Term Weight: 2.1594614773846823
Topic_9, Top-Term Weight: 1.620592436438089
Topic_10, Top-Term Weight: 1.8632808982335731
Topic_11, Top-Term Weight: 2.40454739136508
Topic_12, Top-Term Weight: 2.171928969724627
Topic_13, Top-Term Weight: 1.869269535017695
Topic_14, Top-Term Weight: 2.7951926343958933
Topic_15, Top-Term Weight: 1.5897466730583003
Topic_16, Top-Term Weight: 1.8809459884037378
Topic_17, Top-Term Weight: 1.5753808557094988
Topic_18, Top-Term Weight: 1.895969721761014
Topic_19, Top-Term Weight: 1.318903771648984
Topic_20, Top-Term Weight: 1.8224617200193134
Topic_21, Top-Term Weight: 1.3957698579690405
Topic_22, Top-Term Weight: 2.1960919093653293
Topic_23, Top-Term Weight: 2.1372127089176276
Topic_24, Top-Term Weight: 1.6586572070340841
Topic_25, Top-Term Weight: 2.314869071180262
Topic_26, Top-Term Weight: 2.1337697391090082
Topic_27, Top-Term Weight: 1.9700474294842267
Topic_28, Top-Term Weight: 1.5309343871668424
Topic_29, Top-Term Weight: 1.4146652792276497
Topic_30, Top-Term Weight: 2.46702602402293
Topic_31, Top-Term Weight: 1.414084140008398
Topic_32, Top-Term Weight: 1.8138390472028827
Topic_33, Top-Term Weight: 1.0001639620016283
Topic_34, Top-Term Weight: 2.1402048383721066
Topic_35, Top-Term Weight: 1.0948560204190865
Topic_36, Top-Term Weight: 1.2636950784419634
Topic_37, Top-Term Weight: 1.9915418559090425
